"name","logoUrl","available","quantityAvailable","rating","ratingCount","savings"
"Boscov's","https://raise-content.s3.amazonaws.com/MP-OPs/Boscovs/Boscovs-Logo.png",true,390,"3.2",113,"11.90"
"Boston Market","https://raise-content.s3.amazonaws.com/MP-OPs/Boston+Market/BostonMarket-Logo.png",true,1170,"3.7",250,"22.00"
"BP Gas","https://s3.amazonaws.com/raise-content/ibi/BPGas-Logo.png",false,0,"3.6",189,"0.00"
"Brooks Brothers","https://s3.amazonaws.com/raise-content/ibi/BrooksBrothers-Logo.png",true,1,"3.1",475,"10.00"
"Brookstone","https://s3.amazonaws.com/raise-content/ibi/Brookstone-Logo.png",false,0,"4.2",429,"0.00"
"Buca di Beppo","https://s3.amazonaws.com/raise-content/ibi/BucadiBeppo-Logo.png",true,554,"4.0",343,"16.80"
"Buckhead Life Restaurant Group","https://s3.amazonaws.com/raise-content/ibi/BuckheadLifeRestaurantGroup-Logo.png",false,0,"2.2",124,"0.00"
"Buckle","https://s3.amazonaws.com/raise-content/ibi/Buckle-Logo.png",false,0,"4.2",147,"0.00"
"Buffalo Wild Wings®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Buffalo+Wild+Wings/RAISE_BuffaloWildWings-Logo.png",true,1023,"3.5",360,"8.56"
"Build-A-Bear Workshop®","https://raise-content.s3.amazonaws.com/MP-OPs/Build+A+Bear/BuildABear-Logo.png",true,475,"3.7",328,"18.30"
"BURGER KING®","https://raise-content.s3.amazonaws.com/MP-OPs/Burger+King/BurgerKing-logo.png",true,79,"3.4",727,"4.10"
"Burlington","https://raise-content.s3.amazonaws.com/MP-OPs/Burlington+Coat+Factory/Burlington-Logo.png",true,411,"3.3",526,"7.00"
"Cabela's","https://raise-content.s3.amazonaws.com/MP-OPs/Cabela's/Cabelas-Logo.png",true,1260,"3.6",734,"6.96"
"California Pizza Kitchen","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/California+Pizza+Kitchen/RAISE_CPK-Logo.png",true,1293,"3.6",115,"22.28"
"Callaway Golf","https://raise-content.s3.amazonaws.com/MP-OPs/Callaway+Golf/Callaway-Logo.png",true,11,"3.5",153,"10.06"
"Carmike Cinemas","https://s3.amazonaws.com/raise-content/ibi/CarmikeCinemas-Logo.png",false,0,"4.2",291,"0.00"
"Carnival","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Carnival/RAISE_carnival-logo.png",true,13,"3.0",451,"8.00"
"Carrabba's Italian Grill (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/Carrabbas+Italian+Grill/Carrabbas+Italian+Grill-logo.png",true,11,"3.5",114,"0.00"
"Carter's","https://raise-content.s3.amazonaws.com/MP-OPs/Carters/Carters-Logo.png",true,2411,"3.3",161,"11.27"
"Cash Wise Grocery","https://s3.amazonaws.com/raise-content/ibi/CashWiseGrocery-Logo.png",false,0,"1.2",261,"0.00"
"Celebrity Cruises","https://raise-content.s3.amazonaws.com/MP-OPs/Celebrity+Cruises/CelebrityCruises-Logo.png",true,13,"2.9",299,"10.00"
"Charlotte Russe","https://s3.amazonaws.com/raise-content/ibi/CharlotteRusse-Logo.png",false,0,"3.2",428,"0.00"
"Charming Charlie","https://s3.amazonaws.com/raise-content/ibi/CharmingCharlie-Logo.png",false,0,"3.0",177,"0.00"
"Chevron and Texaco","https://raise-content.s3.amazonaws.com/MP-OPs/Chevron+Texaco/ChevronTexaco-Logo.png",true,59,"3.2",170,"0.07"
"Chick-fil-A","https://s3.amazonaws.com/raise-content/ibi/Chick-fil-A-Logo.png",false,0,"3.6",347,"0.00"
"Chico's","https://raise-content.s3.amazonaws.com/ibi/chicos-Logo.png",true,36,"3.0",360,"4.48"
"Chili’s® Grill & Bar","https://raise-content.s3.amazonaws.com/MP-OPs/Chilis/Chilis-Logo.png",true,757,"3.6",439,"12.07"
"Chipotle","https://s3.amazonaws.com/raise-content/ibi/Chipotle-Logo.png",true,2915,"2.7",152,"6.97"
"Chipotle (Physical)","https://s3.amazonaws.com/raise-content/ibi/Chipotle-Logo.png",true,55,"3.6",719,"4.04"
"Chuck E. Cheese's","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Chuck+E+Cheese/RAISE_ChuckECheese-Logo.png",true,342,"3.2",409,"16.20"
"Cinemark","https://raise-content.s3.amazonaws.com/MP-OPs/Cinemark/Cinemark-Logo.png",true,20,"3.6",120,"3.96"
"Cirque du Soleil","https://s3.amazonaws.com/raise-content/ibi/CirqueDuSoleil-Logo.png",false,0,"3.1",209,"0.00"
"Claire's","https://raise-content.s3.amazonaws.com/MP-OPs/Claire's/Claires-Logo.png",true,20,"3.0",248,"20.00"
"COACH","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Coach/RAISE_Coach-Logo.png",false,0,"3.8",189,"0.00"
"Cold Stone Creamery","https://raise-content.s3.amazonaws.com/MP-OPs/Cold+Stone+Creamery/ColdStone-Logo.png",true,1228,"3.1",751,"30.00"
"Cole Haan","https://s3.amazonaws.com/raise-content/ibi/ColeHaan-Logo.png",true,271,"3.0",179,"11.46"
"Columbia Sportswear Company","https://raise-content.s3.amazonaws.com/MP-OPs/Columbia/Columbia-Logo.png",true,92,"3.1",263,"4.06"
"Costco","https://s3.amazonaws.com/raise-content/ibi/Costco-Logo.png",false,0,"3.6",537,"0.00"
"Costco (Online Only)","https://s3.amazonaws.com/raise-content/ibi/Costco-Logo.png",false,0,"2.3",104,"0.00"
"Cracker Barrel Old Country Store® (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Cracker+Barrel/RAISE_cracker-barrel-logo.png",true,1,"3.7",194,"0.00"
"CraftWorks Restaurants","https://s3.amazonaws.com/raise-content/ibi/CraftWorksRestaurants-Logo.png",true,9,"4.8",106,"13.00"
"Crate & Barrel","https://raise-content.s3.amazonaws.com/MP-OPs/Crate+%26+Barrel/CrateBarrel-Logo.png",true,18,"3.5",153,"2.45"
"Crutchfield","https://raise-content.s3.amazonaws.com/MP-OPs/Crutchfield/Crutchfield-Logo.png",true,34,"3.9",118,"3.16"
"CVS Pharmacy®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/CVS/RAISE_CVS-Logo.png",true,51,"3.7",1116,"2.07"
"Darden Restaurants","https://raise-content.s3.amazonaws.com/MP-OPs/DardenRestaurants-Logo.png",true,9,"4.4",554,"3.00"
"Dave & Buster's®","https://raise-content.s3.amazonaws.com/MP-OPs/Dave+Busters/DaveBusters-Logo.png",true,215,"3.6",170,"6.60"
"Dell","https://s3.amazonaws.com/raise-content/ibi/Dells-Logo.png",false,0,"3.3",861,"0.00"
"Delta Air Lines","https://raise-content.s3.amazonaws.com/MP-OPs/Delta+Air+Lines/DeltaAirLines-Logo.png",true,322,"3.1",684,"4.06"
"Denny's","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Dennys/RAISE_Dennys-Logo.png",false,0,"3.7",112,"0.00"
"Dick's Sporting Goods (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/Dicks+Sporting+Goods/Dicks-Logo.png",true,3,"3.6",237,"12.20"
"DICK’S Sporting Goods","https://raise-content.s3.amazonaws.com/MP-OPs/Dicks+Sporting+Goods/Dicks-Logo.png",true,443,"3.0",1252,"3.10"
"Dickey's Barbecue Pit","https://s3.amazonaws.com/raise-content/ibi/DickeysBarbecuePit-Logo.png",false,0,"4.8",225,"0.00"
"Dillard's","https://s3.amazonaws.com/raise-content/ibi/Dillards-Logo.png",true,2,"3.6",215,"0.00"
"Dillard's (Online Only)","https://s3.amazonaws.com/raise-content/ibi/Dillards-Logo.png",false,0,"3.0",160,"0.00"
"Discovery Channel Store","https://s3.amazonaws.com/raise-content/ibi/DiscoveryChannelStore-Logo.png",false,0,"3.1",114,"0.00"
"Disney","https://raise-content.s3.amazonaws.com/MP-OPs/Disney/Disney-Logo.png",true,136,"3.5",1105,"0.36"
"Disney Store","https://s3.amazonaws.com/raise-content/ibi/DisneyStore-Logo.png",true,29,"3.7",496,"0.96"
"Disney Store (In Store Only)","https://s3.amazonaws.com/raise-content/ibi/DisneyStore-Logo.png",false,0,"3.0",356,"0.00"
"Dollar Tree","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",false,0,"3.7",166,"0.00"
"Domino’s®","https://raise-content.s3.amazonaws.com/MP-OPs/Dominos/Dominos-logo.png",true,7747,"3.1",551,"17.68"
"Dressbarn","https://s3.amazonaws.com/raise-content/ibi/Dressbarn-Logo.png",false,0,"3.5",210,"0.00"
"DSW","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/DSW/RAISE_DSW-Logo.png",true,745,"3.6",305,"16.40"
"Dunkin' Donuts","https://raise-content.s3.amazonaws.com/MP-OPs/Dunkin'+Donuts/DunkinDonuts-Logo.png",true,19,"4.8",1362,"0.76"
"eBay","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/ebay/RAISE_ebay-Logo.png",false,0,"3.1",2541,"0.00"
"Eddie Bauer","https://raise-content.s3.amazonaws.com/MP-OPs/Eddie+Bauer/EddieBauer-Logo.png",true,17,"3.1",650,"5.34"
"Eddie V's","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",true,1,"4.9",103,"0.02"
"Express","https://raise-content.s3.amazonaws.com/MP-OPs/express-icon.png",true,1188,"3.6",495,"16.00"
"Exxon Mobil","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/EXXON/RAISE_EXXON-Logo.png",false,0,"3.2",177,"0.00"
"Famous Dave's®","https://raise-content.s3.amazonaws.com/MP-OPs/Famous+Daves/FamousDaves-Logo.png",true,626,"3.6",132,"22.16"
"Famous Footwear","https://raise-content.s3.amazonaws.com/MP-OPs/FamousFootwear-Logo.png",true,182,"3.1",161,"5.60"
"Fanatics","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Fanatics/RAISE_Fanatics-Logo.png",true,11,"3.2",288,"8.91"
"Fandango","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Fandango/RAISE_Fandango-Logo.png",true,1887,"3.9",504,"6.00"
"Fannie May Gifts","https://s3.amazonaws.com/raise-content/ibi/FannieMay-Logo.png",false,0,"2.4",141,"0.00"
"Fatz","https://s3.amazonaws.com/raise-content/ibi/Fatz-Logo.png",true,2,"5.0",113,"5.00"
